Pager usage is off.
breadth_48021_empire	1	1	0	zoning-fact
breadth_48021_smithviile	1	1	0	zoning-fact
breadth_48021_co_rd	1	1	0	zoning-fact
breadth_48209_behind_joe_romer's	1	1	0	zoning-fact
breadth_48021_ellgin	1	1	0	zoning-fact
breadth_48021_bastrrop	1	1	0	zoning-fact
breadth_48021_ceder_creek	1	1	0	zoning-fact
breadth_48209_dripping_springs_,	1	1	0	zoning-fact
breadth_48021_elgin_t	1	1	0	zoning-fact
breadth_48021_batrop	1	1	0	zoning-fact
breadth_48021_cedar_crekk	1	1	0	zoning-fact
breadth_48021_elgiin	1	1	0	zoning-fact
breadth_48021_bastropd	1	1	0	zoning-fact
breadth_48021_smithille	1	1	0	zoning-fact
breadth_48021_de_valle	1	1	0	zoning-fact
breadth_48021_smihville	1	1	0	zoning-fact
breadth_48021_mc_dade	1	1	0	zoning-fact
breadth_48209_kyle_s	1	1	0	zoning-fact
breadth_48209_budaa	1	1	0	zoning-fact
breadth_48021_dael	1	1	0	zoning-fact
breadth_48021_m66626	1	1	0	zoning-fact
breadth_48021_astrop	1	1	0	zoning-fact
breadth_48021_lexington	1	1	0	zoning-fact
breadth_48209_hays	40987	0	40987	road-node
breadth_48309_mclennan	28787	0	28787	road-node
