"propId","geoId","txgioGeomBytes","bcadPolyForPropId","bcadNonPolyForPropId","bcadPolySameGeoId","successorsCoveringFootprint","successorPropIds","classification"
"25786","","396","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"25796","R25796","300","0","0","0","0","","GONE_FROM_BCAD"
"25926","R25926","732","0","0","0","1","8737567","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"26003","","348","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"26005","R26005","300","0","0","0","0","","GONE_FROM_BCAD"
"26011","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"26022","R26022","348","0","0","0","0","","GONE_FROM_BCAD"
"26038","R26038","444","0","0","0","0","","GONE_FROM_BCAD"
"26149","R26149","780","0","0","0","0","","GONE_FROM_BCAD"
"26174","R26174","1260","0","0","0","0","","GONE_FROM_BCAD"
"26185","R26185","636","0","0","0","0","","GONE_FROM_BCAD"
"26190","","732","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"26193","R26193","540","0","0","0","0","","GONE_FROM_BCAD"
"26321","R26321","588","0","0","0","0","","GONE_FROM_BCAD"
"26493","R26493","348","0","0","0","0","","GONE_FROM_BCAD"
"26592","R26592","396","0","0","0","0","","GONE_FROM_BCAD"
"26597","","348","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"26797","R26797","396","0","0","0","0","","GONE_FROM_BCAD"
"26815","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"26857","R26857","1033","0","0","0","0","","GONE_FROM_BCAD"
"26922","R26922","684","0","0","0","0","","GONE_FROM_BCAD"
"27142","R27142","396","0","0","0","0","","GONE_FROM_BCAD"
"27203","R27203","396","0","0","0","0","","GONE_FROM_BCAD"
"27220","R27220","1020","0","0","0","0","","GONE_FROM_BCAD"
"27231","","780","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"27354","","348","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"27365","R27365","588","0","0","0","0","","GONE_FROM_BCAD"
"27429","","348","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"27456","R27456","444","0","0","0","0","","GONE_FROM_BCAD"
"27464","R27464","540","0","0","0","0","","GONE_FROM_BCAD"
"27475","R27475","300","0","0","0","0","","GONE_FROM_BCAD"
"27569","R27569","492","0","0","0","0","","GONE_FROM_BCAD"
"27616","","348","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"27651","","396","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"27671","","396","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"27688","","1260","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"27763","R27763","492","0","0","0","0","","GONE_FROM_BCAD"
"27790","R27790","898","0","0","0","0","","GONE_FROM_BCAD"
"27840","","300","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"27893","R27893","300","0","0","0","0","","GONE_FROM_BCAD"
"27901","R27901","300","0","0","0","0","","GONE_FROM_BCAD"
"27928","","828","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"28024","R28024","732","0","0","0","0","","GONE_FROM_BCAD"
"28032","R28032","828","0","0","0","1","8728454","SUCCESSOR_POLYGON_OTHER_ID_COVERS_FOOTPRINT"
"28147","","348","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"28216","R28216","396","0","0","0","0","","GONE_FROM_BCAD"
"28240","R28240","396","0","0","0","0","","GONE_FROM_BCAD"
"28256","R28256","300","0","0","0","0","","GONE_FROM_BCAD"
"28260","","444","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"28267","","348","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
"28268","","396","0","0","0","0","","TXGIO_ROW_WITHOUT_GEO_ID"
