id,authority
57661,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
74192,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55158,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
55797,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
65382,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
73573,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
66061,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
63753,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
82129,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
73108,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
125275,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127603,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
79668,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
80582,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127636,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127691,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
12777,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127882,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
127913,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
12801,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
12835,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
27833,Hays County CAD roll (cad_property) for county_fips 48209 at declared tax_year 2026
128360,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
128882,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
128939,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
128952,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
128964,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
128991,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
128900,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
128909,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
110514,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
34844,Hays County CAD roll (cad_property) for county_fips 48209 at declared tax_year 2026
110551,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
110566,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
34785,Hays County CAD roll (cad_property) for county_fips 48209 at declared tax_year 2026
110589,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
110638,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
110650,Hays County GIS published parcel index (txgio_parcel) for county_fips 48209
